Date,Day,Placement Task,UPSC Task,Defence Task,Fitness Task,College Task
2025-06-29,Sunday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Attend classes & take notes
2025-06-30,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-07-01,Tuesday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-07-02,Wednesday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Prepare slides for project
2025-07-03,Thursday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Drink 3L water,Prepare slides for project
2025-07-04,Friday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Eat home-cooked meals only,Revise one subject for internal quiz
2025-07-05,Saturday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-07-06,Sunday,Revise 1 ML project notebook,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Track calories for the day,Attend classes & take notes
2025-07-07,Monday,Update resume bullet point,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-07-08,Tuesday,Update resume bullet point,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Complete assignment or lab task
2025-07-09,Wednesday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Revise 1 Defence GK topic,30 min morning walk or HIIT,Attend classes & take notes
2025-07-10,Thursday,Practice 1 mock interview question,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Track calories for the day,Prepare slides for project
2025-07-11,Friday,Practice 1 mock interview question,Practice 5 CSAT questions,Take a mini mock test (20 questions),Eat home-cooked meals only,Attend classes & take notes
2025-07-12,Saturday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Drink 3L water,Prepare slides for project
2025-07-13,Sunday,Update resume bullet point,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Track calories for the day,Complete assignment or lab task
2025-07-14,Monday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-07-15,Tuesday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Take a mini mock test (20 questions),30 min morning walk or HIIT,Attend classes & take notes
2025-07-16,Wednesday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-07-17,Thursday,Update resume bullet point,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-07-18,Friday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-07-19,Saturday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-07-20,Sunday,Practice 1 mock interview question,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Complete assignment or lab task
2025-07-21,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Track calories for the day,Complete assignment or lab task
2025-07-22,Tuesday,Update resume bullet point,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Track calories for the day,Revise one subject for internal quiz
2025-07-23,Wednesday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Revise one subject for internal quiz
2025-07-24,Thursday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-07-25,Friday,Revise 1 ML project notebook,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-07-26,Saturday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Attend classes & take notes
2025-07-27,Sunday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Complete assignment or lab task
2025-07-28,Monday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-07-29,Tuesday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Drink 3L water,Attend classes & take notes
2025-07-30,Wednesday,Revise 1 ML project notebook,Practice 5 CSAT questions,Revise 1 Defence GK topic,30 min morning walk or HIIT,Complete assignment or lab task
2025-07-31,Thursday,Update resume bullet point,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-08-01,Friday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Track calories for the day,Revise one subject for internal quiz
2025-08-02,Saturday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Revise one subject for internal quiz
2025-08-03,Sunday,Update resume bullet point,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-08-04,Monday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Track calories for the day,Complete assignment or lab task
2025-08-05,Tuesday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-08-06,Wednesday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Complete assignment or lab task
2025-08-07,Thursday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Drink 3L water,Attend classes & take notes
2025-08-08,Friday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-08-09,Saturday,Update resume bullet point,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Drink 3L water,Revise one subject for internal quiz
2025-08-10,Sunday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,30 min morning walk or HIIT,Attend classes & take notes
2025-08-11,Monday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Track calories for the day,Complete assignment or lab task
2025-08-12,Tuesday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Track calories for the day,Attend classes & take notes
2025-08-13,Wednesday,Update resume bullet point,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-08-14,Thursday,Update resume bullet point,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Track calories for the day,Complete assignment or lab task
2025-08-15,Friday,Practice 1 mock interview question,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-08-16,Saturday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Drink 3L water,Attend classes & take notes
2025-08-17,Sunday,Revise 1 ML project notebook,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Track calories for the day,Revise one subject for internal quiz
2025-08-18,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Attend classes & take notes
2025-08-19,Tuesday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Drink 3L water,Revise one subject for internal quiz
2025-08-20,Wednesday,Revise 1 ML project notebook,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-08-21,Thursday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Drink 3L water,Revise one subject for internal quiz
2025-08-22,Friday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,30 min morning walk or HIIT,Revise one subject for internal quiz
2025-08-23,Saturday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-08-24,Sunday,Update resume bullet point,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-08-25,Monday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Revise 1 Defence GK topic,30 min morning walk or HIIT,Revise one subject for internal quiz
2025-08-26,Tuesday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Eat home-cooked meals only,Attend classes & take notes
2025-08-27,Wednesday,Practice 1 mock interview question,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Prepare slides for project
2025-08-28,Thursday,Practice 1 mock interview question,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Track calories for the day,Attend classes & take notes
2025-08-29,Friday,Update resume bullet point,Practice 5 CSAT questions,Take a mini mock test (20 questions),Eat home-cooked meals only,Revise one subject for internal quiz
2025-08-30,Saturday,Update resume bullet point,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,30 min morning walk or HIIT,Complete assignment or lab task
2025-08-31,Sunday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Eat home-cooked meals only,Complete assignment or lab task
2025-09-01,Monday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),Eat home-cooked meals only,Prepare slides for project
2025-09-02,Tuesday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-09-03,Wednesday,Update resume bullet point,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Eat home-cooked meals only,Attend classes & take notes
2025-09-04,Thursday,Revise 1 ML project notebook,Practice 5 CSAT questions,Revise 1 Defence GK topic,Drink 3L water,Prepare slides for project
2025-09-05,Friday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-09-06,Saturday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-09-07,Sunday,Update resume bullet point,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Revise one subject for internal quiz
2025-09-08,Monday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-09-09,Tuesday,Practice 1 mock interview question,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Eat home-cooked meals only,Complete assignment or lab task
2025-09-10,Wednesday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Complete assignment or lab task
2025-09-11,Thursday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-09-12,Friday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Track calories for the day,Attend classes & take notes
2025-09-13,Saturday,Practice 1 mock interview question,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Complete assignment or lab task
2025-09-14,Sunday,Revise 1 ML project notebook,Practice 5 CSAT questions,Revise 1 Defence GK topic,Drink 3L water,Complete assignment or lab task
2025-09-15,Monday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-09-16,Tuesday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-09-17,Wednesday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Track calories for the day,Prepare slides for project
2025-09-18,Thursday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Eat home-cooked meals only,Attend classes & take notes
2025-09-19,Friday,Practice 1 mock interview question,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Track calories for the day,Attend classes & take notes
2025-09-20,Saturday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Complete assignment or lab task
2025-09-21,Sunday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Track calories for the day,Revise one subject for internal quiz
2025-09-22,Monday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Track calories for the day,Prepare slides for project
2025-09-23,Tuesday,Revise 1 ML project notebook,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Complete assignment or lab task
2025-09-24,Wednesday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Take a mini mock test (20 questions),Drink 3L water,Attend classes & take notes
2025-09-25,Thursday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),Eat home-cooked meals only,Complete assignment or lab task
2025-09-26,Friday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),30 min morning walk or HIIT,Revise one subject for internal quiz
2025-09-27,Saturday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Track calories for the day,Attend classes & take notes
2025-09-28,Sunday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-09-29,Monday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),Drink 3L water,Attend classes & take notes
2025-09-30,Tuesday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Track calories for the day,Attend classes & take notes
2025-10-01,Wednesday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Track calories for the day,Complete assignment or lab task
2025-10-02,Thursday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Complete assignment or lab task
2025-10-03,Friday,Update resume bullet point,Practice 5 CSAT questions,Take a mini mock test (20 questions),30 min morning walk or HIIT,Attend classes & take notes
2025-10-04,Saturday,Revise 1 ML project notebook,Practice 5 CSAT questions,Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-10-05,Sunday,Update resume bullet point,Revise 1 NCERT chapter,Revise 1 Defence GK topic,30 min morning walk or HIIT,Attend classes & take notes
2025-10-06,Monday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Track calories for the day,Revise one subject for internal quiz
2025-10-07,Tuesday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,30 min morning walk or HIIT,Prepare slides for project
2025-10-08,Wednesday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-10-09,Thursday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-10-10,Friday,Update resume bullet point,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Complete assignment or lab task
2025-10-11,Saturday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Complete assignment or lab task
2025-10-12,Sunday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),Eat home-cooked meals only,Complete assignment or lab task
2025-10-13,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-10-14,Tuesday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Revise one subject for internal quiz
2025-10-15,Wednesday,Practice 1 mock interview question,Practice 5 CSAT questions,Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-10-16,Thursday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Drink 3L water,Revise one subject for internal quiz
2025-10-17,Friday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-10-18,Saturday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Prepare slides for project
2025-10-19,Sunday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),Eat home-cooked meals only,Prepare slides for project
2025-10-20,Monday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Prepare slides for project
2025-10-21,Tuesday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-10-22,Wednesday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),Track calories for the day,Complete assignment or lab task
2025-10-23,Thursday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Complete assignment or lab task
2025-10-24,Friday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-10-25,Saturday,Revise 1 ML project notebook,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Complete assignment or lab task
2025-10-26,Sunday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-10-27,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,30 min morning walk or HIIT,Prepare slides for project
2025-10-28,Tuesday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,30 min morning walk or HIIT,Prepare slides for project
2025-10-29,Wednesday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Revise one subject for internal quiz
2025-10-30,Thursday,Update resume bullet point,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-10-31,Friday,Practice 1 mock interview question,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Prepare slides for project
2025-11-01,Saturday,Revise 1 ML project notebook,Practice 5 CSAT questions,Revise 1 Defence GK topic,Eat home-cooked meals only,Revise one subject for internal quiz
2025-11-02,Sunday,Practice 1 mock interview question,Revise 1 NCERT chapter,Revise 1 Defence GK topic,30 min morning walk or HIIT,Prepare slides for project
2025-11-03,Monday,Revise 1 ML project notebook,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Attend classes & take notes
2025-11-04,Tuesday,Update resume bullet point,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Drink 3L water,Complete assignment or lab task
2025-11-05,Wednesday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),Drink 3L water,Prepare slides for project
2025-11-06,Thursday,Practice 1 mock interview question,Practice 5 CSAT questions,Take a mini mock test (20 questions),Eat home-cooked meals only,Revise one subject for internal quiz
2025-11-07,Friday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Drink 3L water,Revise one subject for internal quiz
2025-11-08,Saturday,Update resume bullet point,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Drink 3L water,Attend classes & take notes
2025-11-09,Sunday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Track calories for the day,Complete assignment or lab task
2025-11-10,Monday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Drink 3L water,Complete assignment or lab task
2025-11-11,Tuesday,Update resume bullet point,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Complete assignment or lab task
2025-11-12,Wednesday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Attend classes & take notes
2025-11-13,Thursday,Update resume bullet point,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-11-14,Friday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Track calories for the day,Attend classes & take notes
2025-11-15,Saturday,Update resume bullet point,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Track calories for the day,Revise one subject for internal quiz
2025-11-16,Sunday,Revise 1 ML project notebook,Practice 5 CSAT questions,Take a mini mock test (20 questions),Eat home-cooked meals only,Complete assignment or lab task
2025-11-17,Monday,Practice 1 mock interview question,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-11-18,Tuesday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Track calories for the day,Attend classes & take notes
2025-11-19,Wednesday,Update resume bullet point,Practice 5 CSAT questions,Take a mini mock test (20 questions),Track calories for the day,Complete assignment or lab task
2025-11-20,Thursday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),Eat home-cooked meals only,Prepare slides for project
2025-11-21,Friday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Track calories for the day,Prepare slides for project
2025-11-22,Saturday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Drink 3L water,Revise one subject for internal quiz
2025-11-23,Sunday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Drink 3L water,Complete assignment or lab task
2025-11-24,Monday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Take a mini mock test (20 questions),30 min morning walk or HIIT,Prepare slides for project
2025-11-25,Tuesday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-11-26,Wednesday,Revise 1 ML project notebook,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-11-27,Thursday,Update resume bullet point,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Drink 3L water,Prepare slides for project
2025-11-28,Friday,Practice 1 mock interview question,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-11-29,Saturday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),Drink 3L water,Complete assignment or lab task
2025-11-30,Sunday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-12-01,Monday,Update resume bullet point,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Track calories for the day,Revise one subject for internal quiz
2025-12-02,Tuesday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-12-03,Wednesday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Track calories for the day,Attend classes & take notes
2025-12-04,Thursday,Update resume bullet point,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Drink 3L water,Complete assignment or lab task
2025-12-05,Friday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-12-06,Saturday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Drink 3L water,Complete assignment or lab task
2025-12-07,Sunday,Revise 1 ML project notebook,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Complete assignment or lab task
2025-12-08,Monday,Revise 1 ML project notebook,Practice 5 CSAT questions,Take a mini mock test (20 questions),Drink 3L water,Complete assignment or lab task
2025-12-09,Tuesday,Practice 1 mock interview question,Practice 5 CSAT questions,Revise 1 Defence GK topic,Drink 3L water,Prepare slides for project
2025-12-10,Wednesday,Update resume bullet point,Practice 5 CSAT questions,Take a mini mock test (20 questions),Eat home-cooked meals only,Attend classes & take notes
2025-12-11,Thursday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Complete assignment or lab task
2025-12-12,Friday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Track calories for the day,Revise one subject for internal quiz
2025-12-13,Saturday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Complete assignment or lab task
2025-12-14,Sunday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Take a mini mock test (20 questions),Drink 3L water,Prepare slides for project
2025-12-15,Monday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Track calories for the day,Prepare slides for project
2025-12-16,Tuesday,Update resume bullet point,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Complete assignment or lab task
2025-12-17,Wednesday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Eat home-cooked meals only,Revise one subject for internal quiz
2025-12-18,Thursday,Update resume bullet point,Practice 5 CSAT questions,Revise 1 Defence GK topic,Track calories for the day,Attend classes & take notes
2025-12-19,Friday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Drink 3L water,Revise one subject for internal quiz
2025-12-20,Saturday,Practice 1 mock interview question,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Complete assignment or lab task
2025-12-21,Sunday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,30 min morning walk or HIIT,Complete assignment or lab task
2025-12-22,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Attend classes & take notes
2025-12-23,Tuesday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Take a mini mock test (20 questions),30 min morning walk or HIIT,Prepare slides for project
2025-12-24,Wednesday,Revise 1 ML project notebook,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),Track calories for the day,Complete assignment or lab task
2025-12-25,Thursday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Track calories for the day,Complete assignment or lab task
